g band,r band,average stellar age [Gyr]
-24.627159118652344,-24.97745704650879,12.261072631120268
-23.992015838623047,-24.023204803466797,11.67125749589605
-24.7467098236084,-24.77061653137207,11.554451537054875
-22.29113006591797,-22.325727462768555,11.638273568938411
-22.50983238220215,-22.533306121826172,11.684058142311995
-22.342161178588867,-22.475967407226562,11.731111115413508
-21.254419326782227,-21.344816207885742,11.74806921525994
-20.389257431030273,-20.431468963623047,11.679818922993348
-22.018211364746094,-22.048946380615234,11.636199390639325
-20.078786849975586,-20.128307342529297,11.75503883151008
-20.49778175354004,-20.48989486694336,11.573672686401567
-21.78328514099121,-21.733089447021484,11.172526289405562
-19.6278018951416,-19.711410522460938,11.860474318050112
-19.06664276123047,-19.216196060180664,11.89512102475724
-20.05842399597168,-20.168745040893555,11.665180037693055
-20.618511199951172,-20.690319061279297,11.536231132952391
-19.642908096313477,-19.702058792114258,11.648261966775776
-19.68243408203125,-19.738012313842773,11.690314413275981
-19.168081283569336,-19.667264938354492,12.27493170730343
-20.951065063476562,-20.899320602416992,11.21204063909289
-25.646038055419922,-25.85810089111328,12.06989551142576
-24.667577743530273,-24.67709732055664,11.300583985718337
-22.954072952270508,-22.95737075805664,11.591403815172152
-22.235504150390625,-22.285018920898438,11.536556151432686
-22.374347686767578,-22.434186935424805,11.800000525537131
-22.125293731689453,-22.29265022277832,11.815207977969337
-21.793643951416016,-21.747657775878906,11.26584769935893
-20.738649368286133,-20.892518997192383,11.993822064512472
-19.969234466552734,-19.947311401367188,11.730656882335667
-19.66998291015625,-19.991687774658203,11.920500575104525
-20.853227615356445,-20.861305236816406,11.291190478400512
-18.76929473876953,-19.211645126342773,12.088157452151473
-19.81258201599121,-19.9160099029541,11.377595906208212
-24.883533477783203,-25.116971969604492,12.1138092742593
-23.319080352783203,-23.69171714782715,11.902879365342288
-22.725454330444336,-22.810251235961914,11.871314217612335
-22.27524757385254,-22.299633026123047,11.550883559565087
-20.415075302124023,-20.460283279418945,11.718816615314967
-20.30849838256836,-20.332199096679688,11.738136932527766
-19.180843353271484,-19.318147659301758,11.894283196714944
-20.726633071899414,-20.821765899658203,11.491020117082922
-20.738035202026367,-20.72057342529297,11.534077047893193
-24.785139083862305,-24.9603214263916,12.243713459579425
-24.300479888916016,-24.2928409576416,11.67743444467212
-24.167285919189453,-24.320621490478516,11.991286099235205
-22.554977416992188,-22.598522186279297,11.767570420442276
-21.327564239501953,-21.408239364624023,11.735193478392171
-21.694272994995117,-21.635272979736328,11.551129788587387
-22.094926834106445,-22.11250114440918,11.423952762115777
-23.579818725585938,-23.889781951904297,12.363170487298484
-23.3541316986084,-23.451881408691406,11.656502337234885
-23.743526458740234,-23.706369400024414,11.477847465828619
-22.540958404541016,-22.5647029876709,11.586074541706983
-21.986047744750977,-21.96138572692871,11.373855151724785
-21.482189178466797,-21.484180450439453,11.543483985677021
-19.75491714477539,-19.816179275512695,11.543730845153904
-19.514131546020508,-19.575199127197266,11.867972999864122
-19.610198974609375,-19.64773941040039,11.779250728577123
-19.78948211669922,-19.818700790405273,11.588134915269887
-19.787389755249023,-19.825366973876953,11.50317816852926
-21.077075958251953,-21.07309913635254,11.268541487661441
-25.217029571533203,-25.348047256469727,12.179676777406405
-19.7966365814209,-19.825763702392578,11.882726907626937
-20.559667587280273,-20.541561126708984,11.498461002849407
-21.42361068725586,-21.5837345123291,11.821356933168984
-20.561853408813477,-20.58467674255371,11.477339278562908
-24.848764419555664,-24.89790916442871,11.48893501083472
-23.380237579345703,-23.527006149291992,11.953562815467913
-23.105741500854492,-23.13150405883789,11.721098642481472
-22.47178077697754,-22.535842895507812,11.694937244909339
-21.428340911865234,-21.39468002319336,11.560712833223784
-19.755300521850586,-20.07253074645996,11.833977130978289
-19.25583267211914,-19.37947654724121,11.910762790574276
-19.86772918701172,-19.84128189086914,11.297718169051652
-24.69270133972168,-24.86051368713379,11.790479480583267
-22.33635711669922,-22.324079513549805,11.565367372188678
-22.635242462158203,-22.719215393066406,11.817060066717904
-20.439449310302734,-20.529510498046875,11.743334539882493
-19.523256301879883,-19.66192054748535,11.84335041218683
-21.478858947753906,-21.412019729614258,11.400153408774807
-19.746553421020508,-19.951820373535156,11.727020791563444
-18.958276748657227,-19.239116668701172,12.019332293139373
-25.508440017700195,-25.467891693115234,11.489503910074275
-23.473773956298828,-23.46952247619629,11.489124911138315
-22.0873966217041,-22.220001220703125,11.783351029862725
-23.045791625976562,-23.04279136657715,11.331324656287013
-20.44234848022461,-20.459970474243164,11.50939059395781
-24.87085723876953,-24.893842697143555,11.832346508855538
-23.866395950317383,-23.953271865844727,11.841710539192706
-21.521337509155273,-21.485158920288086,11.390694297625851
-21.769081115722656,-21.943330764770508,12.058733793318991
-21.690555572509766,-21.599809646606445,11.449677023595033
-23.683622360229492,-23.978307723999023,12.237640049429269
-23.813125610351562,-23.877151489257812,11.82251127256965
-21.093307495117188,-21.205472946166992,11.57635352002557
-24.719654083251953,-24.79805564880371,11.838184398479967
-22.483983993530273,-22.47402000427246,11.476513404694533
-22.523414611816406,-22.762760162353516,12.162145026792171
-22.260818481445312,-22.290708541870117,11.542248394716234
-22.497737884521484,-22.555831909179688,11.573429139314554
-24.989469528198242,-25.10408592224121,11.568897724220516
-21.281309127807617,-21.347278594970703,11.87385618060514
-20.603103637695312,-20.55716896057129,11.526623563120813
-20.360837936401367,-20.612462997436523,11.650560583114505
-19.05678367614746,-19.34937286376953,11.700931897876336
-23.931394577026367,-23.93695068359375,11.555680461802591
-23.30832862854004,-23.29332160949707,11.589951709701376
-22.43190574645996,-22.439105987548828,11.547232963630755
-21.414047241210938,-21.502439498901367,11.64028652595059
-21.02552032470703,-21.001964569091797,11.462557636737554
-25.35451316833496,-25.356714248657227,11.37126964647042
-21.177427291870117,-21.216833114624023,11.694475462880433
-20.40792465209961,-20.420082092285156,11.68173633128969
-21.457015991210938,-21.486278533935547,11.363015001611485
-20.106863021850586,-20.30510139465332,11.723036618082553
-19.106117248535156,-19.336645126342773,11.648615677530856
-24.427453994750977,-24.465944290161133,11.715388818316807
-23.000490188598633,-23.105831146240234,11.740285396468856
-22.854991912841797,-22.824390411376953,11.331897356469483
-19.927993774414062,-19.921968460083008,11.322110817126362
-23.550777435302734,-23.643434524536133,11.529258326514242
-23.31049919128418,-23.38857078552246,11.847323430754642
-22.65581512451172,-22.698440551757812,11.743560383348994
-20.956384658813477,-20.989465713500977,11.6364364310077
-19.955442428588867,-20.015544891357422,11.600578944405644
-23.66432762145996,-23.998689651489258,12.326902360270415
-21.94850730895996,-22.05874252319336,11.813463248041632
-23.27075958251953,-23.28807258605957,11.561632417815018
-23.116565704345703,-23.100400924682617,11.404215206936955
-23.671035766601562,-23.783138275146484,11.828462106027743
-20.672527313232422,-20.701461791992188,11.527619006693929
-21.918912887573242,-21.939044952392578,11.501355526621552
-24.29193115234375,-24.389938354492188,11.860261237427526
-21.076936721801758,-21.012279510498047,11.553836609343891
-20.21097755432129,-20.245485305786133,11.49537408900962
-24.332338333129883,-24.479991912841797,11.846357662591476
-19.732545852661133,-19.81072425842285,11.888408544048266
-23.12871551513672,-23.163089752197266,11.687536069303118
-22.47018051147461,-22.430240631103516,11.410490944436289
-21.711956024169922,-21.750102996826172,11.6679871723845
-21.736770629882812,-21.746967315673828,11.529110950969288
-19.730138778686523,-19.744613647460938,11.705072481902594
-22.780221939086914,-22.786867141723633,11.619893843028647
-22.590364456176758,-22.60138511657715,11.431943255765836
-22.682626724243164,-22.69912338256836,11.627644918298069
-21.624174118041992,-21.663148880004883,11.6534451549404
-19.691335678100586,-19.729881286621094,11.61307455311102
-22.9127254486084,-22.952909469604492,11.629667592842345
-23.048316955566406,-23.080154418945312,11.688230949979305
-21.696300506591797,-21.69794273376465,11.485709157852087
-20.865650177001953,-20.866296768188477,11.598650377120086
-23.439476013183594,-23.54218101501465,11.880091078421113
-21.70944595336914,-21.674972534179688,11.540517527173071
-21.706228256225586,-21.721973419189453,11.560222550574954
-19.684574127197266,-19.826011657714844,12.117138221143007
-20.833093643188477,-20.70663833618164,11.152128508282065
-24.058950424194336,-24.174922943115234,11.810461027066474
-19.806556701660156,-19.81306266784668,11.693551424278407
-24.286476135253906,-24.373607635498047,11.613493931693592
-18.657217025756836,-18.979448318481445,11.751219589795667
-21.751991271972656,-21.748567581176758,11.680574467401485
-21.25755500793457,-21.271587371826172,11.66938936330064
-22.457324981689453,-22.54570770263672,11.711898350830646
-21.11459732055664,-21.051942825317383,11.37219818605268
-20.285646438598633,-20.26005744934082,11.448713251778734
-23.37976837158203,-23.406234741210938,11.835016444714663
-22.738019943237305,-22.79115104675293,11.667519585777875
-20.95090675354004,-20.969629287719727,11.626930591776311
-24.330631256103516,-24.404380798339844,11.592008289534528
-24.126829147338867,-24.16266632080078,11.468494052280546
-19.591196060180664,-19.642864227294922,11.513147563759556
-23.90559196472168,-24.06192398071289,11.90178411889655
-23.074167251586914,-23.103572845458984,11.59690135956725
-22.131961822509766,-22.161104202270508,11.64058251315866
-20.32710075378418,-20.32154083251953,11.496067304070813
-23.685420989990234,-23.736082077026367,11.555066024312707
-20.346906661987305,-20.407329559326172,11.552852777696266
-24.289180755615234,-24.308399200439453,11.554451537054875
-24.06036376953125,-24.162473678588867,11.744039824019088
-24.24479866027832,-24.20588493347168,11.41416111097099
-21.835657119750977,-21.873083114624023,11.644957191424377
-19.478769302368164,-19.62033462524414,11.670819732420053
-23.68071174621582,-23.656274795532227,11.453785813122325
-21.943130493164062,-21.967763900756836,11.486974672530756
-20.8665714263916,-20.831863403320312,11.372993538504335
-23.104663848876953,-23.121938705444336,11.561203474404467
-22.36470603942871,-22.394420623779297,11.638924983255027
-21.66277503967285,-21.711505889892578,11.741753996968994
-23.904726028442383,-24.0028133392334,11.771137117695696
-23.045921325683594,-23.012039184570312,11.491020117082922
-19.78437614440918,-19.776081085205078,11.712413642596516
-21.790212631225586,-21.73579216003418,11.430648365947425
-20.586103439331055,-20.57258415222168,11.459103924949744
-22.663328170776367,-22.64775848388672,11.340975913950825
-21.829870223999023,-21.887968063354492,11.758626977195911
-20.749967575073242,-20.756065368652344,11.638806601318187
-21.06096076965332,-21.122024536132812,11.547926625547802
-23.326671600341797,-23.268022537231445,11.45230997841729
-21.732357025146484,-21.754940032958984,11.58048996339527
